filename,cell_type,xmin,xmax,ymin,ymax
BloodImage_00347.jpg,RBC,109,225,196,295
BloodImage_00347.jpg,RBC,176,277,296,400
BloodImage_00347.jpg,RBC,116,208,309,399
BloodImage_00347.jpg,RBC,187,302,1,108
BloodImage_00347.jpg,RBC,451,553,350,454
BloodImage_00347.jpg,RBC,456,563,173,284
BloodImage_00347.jpg,RBC,439,545,225,327
BloodImage_00347.jpg,RBC,261,371,129,224
BloodImage_00347.jpg,RBC,560,640,72,190
BloodImage_00347.jpg,RBC,538,639,1,69
BloodImage_00347.jpg,RBC,450,551,1,69
BloodImage_00347.jpg,RBC,327,428,1,92
BloodImage_00347.jpg,RBC,421,520,64,161
BloodImage_00347.jpg,RBC,228,327,109,206
BloodImage_00347.jpg,RBC,72,171,45,142
BloodImage_00347.jpg,RBC,17,124,245,356
BloodImage_00347.jpg,RBC,255,356,233,305
BloodImage_00347.jpg,RBC,552,640,233,337
BloodImage_00347.jpg,WBC,319,476,297,453
